,title,singer,id,Genre,Lyric
9279,999 Đóa Hồng,Kenny Thái,,"Việt Nam, Dance Việt","Vắng em chiều nay 
 Áng mây nhẹ theo gió bay 
 Vương vấn đâu đây 
 Điệu buồn nhung nhớ giăng đầy 
 Nắng đã nhạt phai 
 Trên con đường 
 Nghiêng bóng dài 
 Anh mãi yêu em 
 Trong kỷ niệm 
 Bóng trăng ngày xưa 
 Với khung trời anh ước mơ 
 Vẫn đứng bơ vơ 
 Một mình đơn bóng 
 Mong chờ 
 Tuyết rơi mùa đông 
 Tiễn em về trong giá băng 
 Cho anh mãi đơn côi 
 Người tình ơi 
 Vườn hồng ngày xưa 
 Đã úa tàn 
 Con tim khổ đau đã héo mòn 
 Chờ đợi tình yêu đã lỡ làng, 
 Chôn đi bao nhiêu 
 Những ước mong 
 Mãi sống với những kỷ niệm 
 Tuyệt vời 
 Mãi sống với ước mơ 
 Yêu em mà thôi... 
 Nắng đã nhạt phai 
 Trên con đường 
 Nghiêng bóng dài 
 Anh mãi yêu em 
 Trong kỷ niệm 
 Bóng trăng ngày xưa 
 Với khung trời anh ước mơ 
 Vẫn đứng bơ vơ 
 Một mình đơn bóng 
 Mong chờ 
 Tuyết rơi mùa đông 
 Tiễn em về trong giá băng 
 Cho anh mãi đơn côi 
 Người tình ơi 
 Vườn hồng ngày xưa 
 Đã úa tàn 
 Con tim khổ đau đã héo mòn 
 Chờ đợi tình yêu đã lỡ làng, 
 Chôn đi bao nhiêu 
 Những ước mong 
 Mãi sống với những kỷ niệm 
 Tuyệt vời 
 Mãi sống với ước mơ 
 Yêu em mà thôi... 
 Vườn hồng ngày xưa 
 Đã úa tàn 
 Con tim khổ đau đã héo mòn 
 Chờ đợi tình yêu đã lỡ làng, 
 Chôn đi bao nhiêu 
 Những ước mong 
 Mãi sống với những kỷ niệm 
 Tuyệt vời 
 Mãi sống với ước mơ 
 Yêu em mà thôi..."
9280,999 Đóa Hồng,La Sương Sương,,"Việt Nam, Dance Việt","Vắng em chiều nay 
 Áng mây nhẹ theo gió bay 
 Vương vấn đâu đây 
 Điệu buồn nhung nhớ giăng đầy 
 Nắng đã nhạt phai 
 Trên con đường 
 Nghiêng bóng dài 
 Anh mãi yêu em 
 Trong kỷ niệm 
 Bóng trăng ngày xưa 
 Với khung trời anh ước mơ 
 Vẫn đứng bơ vơ 
 Một mình đơn bóng 
 Mong chờ 
 Tuyết rơi mùa đông 
 Tiễn em về trong giá băng 
 Cho anh mãi đơn côi 
 Người tình ơi 
 Vườn hồng ngày xưa 
 Đã úa tàn 
 Con tim khổ đau đã héo mòn 
 Chờ đợi tình yêu đã lỡ làng, 
 Chôn đi bao nhiêu 
 Những ước mong 
 Mãi sống với những kỷ niệm 
 Tuyệt vời 
 Mãi sống với ước mơ 
 Yêu em mà thôi... 
 Nắng đã nhạt phai 
 Trên con đường 
 Nghiêng bóng dài 
 Anh mãi yêu em 
 Trong kỷ niệm 
 Bóng trăng ngày xưa 
 Với khung trời anh ước mơ 
 Vẫn đứng bơ vơ 
 Một mình đơn bóng 
 Mong chờ 
 Tuyết rơi mùa đông 
 Tiễn em về trong giá băng 
 Cho anh mãi đơn côi 
 Người tình ơi 
 Vườn hồng ngày xưa 
 Đã úa tàn 
 Con tim khổ đau đã héo mòn 
 Chờ đợi tình yêu đã lỡ làng, 
 Chôn đi bao nhiêu 
 Những ước mong 
 Mãi sống với những kỷ niệm 
 Tuyệt vời 
 Mãi sống với ước mơ 
 Yêu em mà thôi... 
 Vườn hồng ngày xưa 
 Đã úa tàn 
 Con tim khổ đau đã héo mòn 
 Chờ đợi tình yêu đã lỡ làng, 
 Chôn đi bao nhiêu 
 Những ước mong 
 Mãi sống với những kỷ niệm 
 Tuyệt vời 
 Mãi sống với ước mơ 
 Yêu em mà thôi..."
9281,999 Đóa Hồng,Johnny Dũng,,"Việt Nam, Dance Việt","Vắng em chiều nay 
 Áng mây nhẹ theo gió bay 
 Vương vấn đâu đây 
 Điệu buồn nhung nhớ giăng đầy 
 Nắng đã nhạt phai 
 Trên con đường 
 Nghiêng bóng dài 
 Anh mãi yêu em 
 Trong kỷ niệm 
 Bóng trăng ngày xưa 
 Với khung trời anh ước mơ 
 Vẫn đứng bơ vơ 
 Một mình đơn bóng 
 Mong chờ 
 Tuyết rơi mùa đông 
 Tiễn em về trong giá băng 
 Cho anh mãi đơn côi 
 Người tình ơi 
 Vườn hồng ngày xưa 
 Đã úa tàn 
 Con tim khổ đau đã héo mòn 
 Chờ đợi tình yêu đã lỡ làng, 
 Chôn đi bao nhiêu 
 Những ước mong 
 Mãi sống với những kỷ niệm 
 Tuyệt vời 
 Mãi sống với ước mơ 
 Yêu em mà thôi... 
 Nắng đã nhạt phai 
 Trên con đường 
 Nghiêng bóng dài 
 Anh mãi yêu em 
 Trong kỷ niệm 
 Bóng trăng ngày xưa 
 Với khung trời anh ước mơ 
 Vẫn đứng bơ vơ 
 Một mình đơn bóng 
 Mong chờ 
 Tuyết rơi mùa đông 
 Tiễn em về trong giá băng 
 Cho anh mãi đơn côi 
 Người tình ơi 
 Vườn hồng ngày xưa 
 Đã úa tàn 
 Con tim khổ đau đã héo mòn 
 Chờ đợi tình yêu đã lỡ làng, 
 Chôn đi bao nhiêu 
 Những ước mong 
 Mãi sống với những kỷ niệm 
 Tuyệt vời 
 Mãi sống với ước mơ 
 Yêu em mà thôi... 
 Vườn hồng ngày xưa 
 Đã úa tàn 
 Con tim khổ đau đã héo mòn 
 Chờ đợi tình yêu đã lỡ làng, 
 Chôn đi bao nhiêu 
 Những ước mong 
 Mãi sống với những kỷ niệm 
 Tuyệt vời 
 Mãi sống với ước mơ 
 Yêu em mà thôi..."
9282,A Little Love,Fiona Fung,,"Âu Mỹ, Pop, Audiophile","Greatness as you 
 Smallest as me 
 You show me what is 
 Deep as sea 
 A little love 
 Little kiss 
 A litlle hug 
 Little gift 
 All of little something 
 These are our memories 
 You make me cry 
 Make me smile 
 Make me feel 
 That love is true 
 You always 
 Stand by my side', ""I don't want"", 'To say goodbye 
 You make me cry 
 Make me smile 
 Make me feel 
 The joy of love 
 Oh kissing you 
 Thank you 
 For all the love 
 You always 
 Give to me 
 Oh i love you 
 Greatness as you 
 Smallest as me 
 You show me 
 What is deep as sea 
 A little love 
 Little kiss 
 A litlle hug 
 Little gift 
 All of little something 
 These are our memories 
 You make me cry 
 Make me smile 
 Make me feel 
 That love is true 
 You always 
 Stand by my side', ""I don't want"", 'To say goodbye 
 You make me cry 
 Make me smile 
 Make me feel 
 The joy of love 
 Oh kissing you 
 Thank you 
 For all the love 
 You always 
 Give to me 
 Oh i love you 
 Yes I do 
 I always do 
 Make me cry 
 Make me smile 
 Make me feel 
 That love is true 
 You always 
 Stand by my side', ""I don't want"", 'To say goodbye 
 You make me cry 
 Make me smile 
 Make me feel 
 The joy of love 
 Oh kissing you 
 Thank you 
 For all the love 
 You always 
 Give to me 
 Oh i love you 
 To be with you 
 Oh i love you"
9283,A N H,Lương Minh Trang,,"Âu Mỹ, Rock, Alternative",
9284,A Part Of You,Asia 4,,"Âu Mỹ, Pop",
9285,A Secret Place,Trish Thuy Trang,,"Âu Mỹ, Classical",
9286,A Thousand Miles,Vanessa Carlton,,Âu Mỹ,"Making my way downtown 
 Walking fast 
 Faces passed', ""And I'm home bound"", 'Staring blankly ahead 
 Just making my way 
 Making my way 
 Through the crowd 
 Now I need you 
 Now I miss you 
 And now I wonder... 
 If I could fall 
 Into the sky 
 Do you think time 
 Would pass me by', ""'Cause you know I'd walk"", 'A thousand miles 
 If I could 
 Just see you... 
 Tonight', ""It's always times like these"", 'When I think of you 
 And I wonder 
 If you ever 
 Think of me', ""Cause everything's so wrong"", ""And I don't belong"", 'Living in your 
 Precious memories', ""'Cause I need you"", 'Cause I miss you 
 And now I wonder... 
 () 
 If I could fall 
 Into the sky 
 Do you think time 
 Would pass me by', ""'Cause you know I'd walk"", 'A thousand miles 
 If I could 
 Just see you... 
 And I, I 
 Just wanna let you know 
 I, I 
 Drown in your memory 
 I, I', ""Don't want to let this go"", 'I, I', ""Don't..."", 'Making my way downtown 
 Walking fast 
 Faces passed', ""And I'm home bound"", 'Staring blankly ahead 
 Just making my way 
 Making my way 
 Through the crowd 
 Now I still need you 
 Now I still miss you 
 And now I wonder... 
 If I could fall 
 Into the sky 
 Do you think time 
 Would pass us by', ""'Cause you know I'd walk"", 'A thousand miles 
 If I could 
 Just see you... 
 If I could fall 
 Into the sky 
 Do you think time 
 Would pass me by', ""'Cause you know I'd walk"", 'A thousand miles 
 If I could 
 Just see you 
 If I could 
 Just hold you 
 Tonight"
9287,A Thousand Years,Christina Perri,,"Hòa Tấu, Cello, Piano, New Age / World Music",
9288,ABC,Cao Le Ha Trang,,"Âu Mỹ, Electronic / Dance","And your broke-ass car 
 And that shit you call art 
 Fuck you and your friends', ""That I'll never see again"", 'Everybody but your dog 
 You can all fuck off 
 I swear I meant to mean the best 
 When it ended 
 Even tried to bite my tongue 
 When you start shit', ""Now you're textin'"", 'All my friends asking questions 
 They never even liked you 
 In the first place 
 Dated a girl 
 That I hate for the attention 
 She only made it two days 
 What a connection', ""It's like you'd do anything"", 'For my affection', ""You're goin' all about it"", 'In the worst ways 
 I was into you', ""But I'm over it now"", ""And I was tryin' to be nice"", ""But nothing's getting through"", 'So let me spell it out 
 A-b-c-d-e F-U 
 And your mom 
 And your sister and your job 
 And your broke-ass car 
 And that shit you call art 
 Fuck you and your friends', ""That I'll never see again"", 'Everybody but your dog 
 You can all fuck off 
 Nah nah nah nah nah nah nah nah 
 A-b-c-d-e F-U 
 You said you just needed space 
 And so I gave it', ""When I had nothin'"", ""To say you couldn't take it"", ""Told everyone I'm a bitch"", 'So I became it 
 Always had to put yourself above me 
 I was into you', ""But I'm over it now"", ""And I was tryin' to be nice"", ""But nothing's getting through"", 'So let me spell it out 
 A-b-c-d-e F-U 
 And your mom 
 And your sister and your job 
 And your craigslist couch 
 And the way your voice sounds 
 Fuck you and your friends', ""That I'll never see again"", 'Everybody but your dog 
 You can all fuck off 
 Nah nah nah nah nah nah nah nah 
 A-b-c-d-e F-U 
 Nah nah nah nah nah nah nah nah 
 A-b-c-d-e F-U 
 And your mom 
 And your sister and your job 
 And your broke-ass car 
 And that shit you call art 
 Fuck you and your friends', ""That I'll never see again"", 'Everybody but your dog 
 You can all fuck off"
9289,About Love,Emily & JustaTee,,"Hàn Quốc, Pop/Pop Ballad","Gakkeum 
 Nege malhae 
 Sarangeun ajik eoryeoun geot gatdago 
 Geureom neon geunyang saljjak 
 Nareul bogo useo 
 Amu mal eopsi gaman 
 Nae du soneul ttaseuhi gamssa 
 Isanghae neorang isseul ttaemyeon 
 Danduri isseul ttaemyeon 
 Byeorildo anin yaegil 
 Mutjido anheun yaegil teoreonwa 
 Geujeo nae yaegie 
 Gwireul giuryeo juneun ge 
 Gyeote yeongwonhi 
 Neoneun nae pyeoni dwaejul geot gata 
 Ne ireumeul gaman bulleobomyeon 
 Saranghandan mal gata 
 Sumgil su eopsi dugeundae 
 Bureugo bulleobwado maeil geurae 
 Jigeumcheoreom maju boneun ge da 
 Sarangin geosman gata 
 Idaero uri duriman 
 Sigani meomchwosseumyeon 
 Jeongmal johgesseo 
 Gakkeumeun chingul man 
 Na eodireul gado 
 Masissneun eumsigi 
 Nal gippeuge haedo 
 Jakkuman ne saenggage right 
 Sajineul jjigeo take 
 Daeumen neorang 
 Ol georago maengsehae 
 That’s right 
 Museun yaegireul 
 Haedo eoneusae jeomjeom 
 Neoe daehan jarangdeullo sigani heulleo 
 Tteoreojyeo issneundedo two of us 
 Eonjena two of us 
 Jigeumdo neoui 
 Gyeote issneun geot gata 
 Yunanhi jichin haru kkeute 
 Nunmuri walkakhal ttae 
 Amureon maldo eopsi 
 Gamanhi eokkael naeeo juneun neo 
 Machi appacheoreom 
 Pogeunhi anajul ttaemyeon 
 Gyeote yeongwonhi 
 Neoneun nae pyeoni dwaejul geot gata 
 Ne ireumeul gaman bulleobomyeon 
 Saranghandan mal gata 
 Sumgil su eopsi dugeundae 
 Bureugo bulleobwado maeil geurae 
 Jigeumcheoreom maju boneunge da 
 Sarangin geosman gata 
 Idaero uri duriman 
 Sigani meomchwosseumyeon 
 Jeongmal johgesseo 
 Na ttaeroneun jogeum nollagon hae 
 Eojjeomyeon neorang narang 
 1buteo 10kkaji da 
 Ttokgateun saenggakdeureul 
 Haneun geonji 
 Sasil gakkeumssik 
 Honja saenggakhaesseo 
 Eojjeomyeon neorang narang 
 Gateun saram inga bwa 
 Animyeon i modeun geol 
 Mworago da seolmyeonghae 
 Neoman bomyeon jakku useumi na 
 Sarangin geol arasseo 
 Pogaejin du son sairo 
 Ne mami ppajimeopsida neukkyeojyeo 
 Ije naega nege boyeojulge 
 Keojyeobeorin sarangeul 
 Teukbyeolhal geon eopsgessjiman 
 Ontongda neo hanaro gadeuk chaeullae 
 Ne ireumeul gaman bulleobomyeon 
 Saranghandan mal gata 
 Sumgil su eopsi dugeundae 
 Bureugo bulleobwado maeil geurae 
 Jigeumcheoreom maju boneungeda 
 Sarangin geosman gata 
 Idaero uri duriman 
 Sigani meomchwosseumyeon 
 Jeongmal johgesseo"
9290,Ac Mong,365 Band,,,
9291,Adieu Jolie Candy (Tien Em Noi Phi Truong),Alian Ai,,,
9292,Adieu Sois Heureuse,Lê Toàn,,"Hòa Tấu, Saxophone",
9293,Ai Biểu Anh Làm Thinh,Yến Phương,,"Nhạc Trữ Tình, Việt Nam",
9294,Ai Biểu Em Làm Thinh,Đàm Vĩnh Hưng & Thanh Thảo,,,
9295,Ai Bảo Em Là Giai Nhân,Gia Huy,,,
9296,Ai Cho Tôi Tình Yêu (Tân Cổ),Thanh Tuấn,,"Việt Nam, Nhạc Trữ Tình","Ai cho tôi tình yêu 
 Của ngày thơ ngày mộng 
 Tôi xin dâng 
 Vòng tay mở rộng 
 Và đón người 
 Đi vào tim tôi 
 Bằng môi trên bờ môi 
 Nhưng biết chỉ là mơ 
 Nên lòng nức nở 
 Thương còn đi 
 Yêu thì chưa đến 
 Tên gọi tên 
 Tình chưa đổ bến 
 Nẻo mô mà tìm 
 Nằm nghe cô đơn 
 Thoáng bước trong buồng 
 Giá buốt về tìm 
 Sao rơi gối đêm 
 Nhà vắng 
 Mang nhiều cay đắng 
 Xua hồn đi hoang 
 Ai cho tôi tình yêu 
 Để làm duyên nụ cười 
 Tôi xin dâng 
 Tình tôi trọn đời 
 Người hỡi người 
 Xin đừng e ấp 
 Làm tim nghẹn ngào 
 Ai cho tôi tình yêu 
 Của ngày thơ ngày mộng 
 Tôi xin dâng 
 Vòng tay mở rộng 
 Và đón người 
 Đi vào tim tôi 
 Bằng môi trên bờ môi 
 Nhưng biết chỉ là mơ 
 Nên lòng nức nở 
 Thương còn đi 
 Yêu thì chưa đến 
 Tên gọi tên 
 Tình chưa đổ bến 
 Nẻo mô mà tìm 
 Nằm nghe cô đơn 
 Thoáng bước trong buồng 
 Giá buốt về tìm 
 Sao rơi gối đêm 
 Nhà vắng 
 Mang nhiều cay đắng 
 Xua hồn đi hoang 
 Ai cho tôi tình yêu 
 Để làm duyên nụ cười 
 Tôi xin dâng 
 Tình tôi trọn đời 
 Người hỡi người 
 Xin đừng e ấp 
 Làm tim nghẹn ngào"
9297,Ai Đã Khiến Em Như Vậy,Andree Right Hand & Lil Knight,,"Rap Việt, Việt Nam",
9298,Ai Đưa Em Về,Lương Tùng Quang & Ngọc Liên,,"Việt Nam, V-Pop","Đêm nay ai đưa em về 
 Đường khuya sao trời lấp lánh 
 Đêm nay ai đưa em về 
 Mắt em sao chiếu long lanh 
 Đêm nay khi em đi rồi 
 Đường khuya riêng một mình em 
 Đêm nay khi em đi rồi 
 Tôi về đếm bước lẻ loi 
 Người yêu ơi trong tình muộn 
 Người yêu ơi trong tình buồn 
 Trọn tình yêu ta đã cho nhau 
 Hãy quên niềm đau 
 Thời gian ơi xin dừng lại 
 Thời gian ơi xin dừng lại 
 Cho đôi tình nhân 
 Yêu trong muộn màng 
 Đừng khóc ly tan 
 Đêm mai ai đưa em về 
 Mình em trên hè phố vắng 
 Đêm mai ai đưa em về 
 Mắt em lệ ướt long lanh 
 Đêm mai không ai đưa về 
 Người ơi xin đừng hờn dỗi 
 Đêm mai cô đơn đi về 
 Xin người hãy nhớ tình tôi 
 Trong đêm sương rơi bên thềm 
 Đêm nay ai đưa em về 
 Sao khuya trời đêm lấp lánh 
 Không anh ai đưa em về 
 Mong manh những câu ước thề 
 Mắt em sao chiếu long lanh 
 Đêm nay khi em đi rồi 
 Con tim kia không cất lời 
 Đường khuya một mình đơn côi 
 Đêm nay khi em đi rồi 
 Trăng sao lặng im nơi cuối trời 
 Mình anh đếm bước lẻ loi 
 Người yêu ơi trong tình muộn 
 Người yêu ơi trong tình buồn 
 Trọn tình yêu ta đã cho nhau 
 Hãy quên niềm đau 
 Thời gian ơi xin dừng lại 
 Thời gian ơi xin dừng lại 
 Cho đôi tình nhân 
 Yêu trong muộn màng 
 Đừng khóc ly tan 
 Đêm mai ai đưa em về 
 Mình em trên hè phố vắng 
 Đêm mai ai đưa em về 
 Mắt em lệ ướt long lanh 
 Đêm mai không ai đưa về 
 Người ơi xin đừng hờn dỗi 
 Đêm mai cô đơn đi về 
 Xin người hãy nhớ tình tôi"
9299,Ai Đưa Em Về,Tia Hải Châu Ft Lê Thiện Hiếu,,"Việt Nam, V-Pop","Đêm nay ai đưa em về 
 Đường khuya sao trời lấp lánh 
 Đêm nay ai đưa em về 
 Mắt em sao chiếu long lanh 
 Đêm nay khi em đi rồi 
 Đường khuya riêng một mình em 
 Đêm nay khi em đi rồi 
 Tôi về đếm bước lẻ loi 
 Người yêu ơi trong tình muộn 
 Người yêu ơi trong tình buồn 
 Trọn tình yêu ta đã cho nhau 
 Hãy quên niềm đau 
 Thời gian ơi xin dừng lại 
 Thời gian ơi xin dừng lại 
 Cho đôi tình nhân 
 Yêu trong muộn màng 
 Đừng khóc ly tan 
 Đêm mai ai đưa em về 
 Mình em trên hè phố vắng 
 Đêm mai ai đưa em về 
 Mắt em lệ ướt long lanh 
 Đêm mai không ai đưa về 
 Người ơi xin đừng hờn dỗi 
 Đêm mai cô đơn đi về 
 Xin người hãy nhớ tình tôi 
 Trong đêm sương rơi bên thềm 
 Đêm nay ai đưa em về 
 Sao khuya trời đêm lấp lánh 
 Không anh ai đưa em về 
 Mong manh những câu ước thề 
 Mắt em sao chiếu long lanh 
 Đêm nay khi em đi rồi 
 Con tim kia không cất lời 
 Đường khuya một mình đơn côi 
 Đêm nay khi em đi rồi 
 Trăng sao lặng im nơi cuối trời 
 Mình anh đếm bước lẻ loi 
 Người yêu ơi trong tình muộn 
 Người yêu ơi trong tình buồn 
 Trọn tình yêu ta đã cho nhau 
 Hãy quên niềm đau 
 Thời gian ơi xin dừng lại 
 Thời gian ơi xin dừng lại 
 Cho đôi tình nhân 
 Yêu trong muộn màng 
 Đừng khóc ly tan 
 Đêm mai ai đưa em về 
 Mình em trên hè phố vắng 
 Đêm mai ai đưa em về 
 Mắt em lệ ướt long lanh 
 Đêm mai không ai đưa về 
 Người ơi xin đừng hờn dỗi 
 Đêm mai cô đơn đi về 
 Xin người hãy nhớ tình tôi"
9300,CHUYEN TINH MONG THUONG,Băng Tâm & Đan Nguyên,,"Việt Nam, Nhạc Trữ Tình","Ta mất nhau từ đó 
 Bạn bè xa ta 
 Bỏ ta vất vả 
 Người tình xa ta 
 Nỡ quên lời ước hẹn 
 Ngày nào chung bóng với nhau 
 Trao duyên ban đầu 
 Thương quá con đò nhỏ 
 Vạn phần âu lo 
 Ngàn cơn sóng vỗ 
 Cuộc đời phong ba 
 Xót xa tình ban đầu 
 Còn lại chợt phiến đá 
 Oán than trong nỗi sầu 
 Tình đời lang bạt quá 
 Xa lạ quá 
 Tiếc thương lúc thương còn xanh 
 Cuộc đời sao mỏng manh 
 Thương tình cay đắng 
 Vỡ tan giấc mơ đẹp xinh 
 Tôi đứng bên đầu ngõ 
 Giận hờn vu vơ 
 Lặng thinh nức nở 
 Người tình trong mơ 
 đã xa thật xa rồi 
 Bạn bè nay chỉ đến 
 Với tôi trong kỷ niệm 
 Thương quá con đò nhỏ 
 Vạn phần âu lo 
 Ngàn cơn sóng vỗ 
 Cuộc đời phong ba 
 Xót xa tình ban đầu 
 Còn lại chợt phiến đá 
 Oán than trong nỗi sầu 
 Tình đời lang bạt quá 
 Xa lạ quá 
 Tiếc thương lúc thương còn xanh 
 Cuộc đời sao mỏng manh 
 Thương tình cay đắng 
 Vỡ tan giấc mơ đẹp xinh 
 Tôi đứng bên đầu ngõ 
 Giận hờn vu vơ 
 Lặng thinh nức nở 
 Người tình trong mơ 
 đã xa thật xa rồi 
 Bạn bè nay chỉ đến 
 Với tôi trong kỷ niệm 
 Người tình trong mơ 
 đã xa thật xa rồi 
 Bạn bè nay chỉ đến 
 Với tôi trong kỷ niệm 
 Người tình trong mơ 
 đã xa thật xa rồi 
 Bạn bè nay chỉ đến 
 Với tôi trong kỷ niệm"
9301,Hạo Nam Super Star,Lâm Chấn Khang,,Việt Nam,
9302,Ai Lo Yeu Ai,Duong Hong Loan ft Hoang Chau,,,
9303,Ai Noi Yeu Em Dem Nay,Chirstiane Le & Le Tri,,"Việt Nam, Nhạc Dân Ca - Quê Hương","Ai nói yêu em đêm nay 
 Ai nói yêu em đêm mai 
 Ai sẽ yêu em sau này 
 Son phấn nào giết ngây thơ 
 Ánh đèn nào màu đơn côi 
 Lệ sao nhiều hơn mưa lũ 
 Ai dìu bước em đêm nay 
 Ai dìu bước em đêm mai 
 Ai dìu bước em tương lai 
 Nhịp chân nào đưa rã rời 
 Ôi tiếng kèn nghẹn như tiếng khóc 
 Thương cho người một kiếp vô duyên 
 Rồi từng đêm từng đêm 
 Qua biết tay bao người 
 Một lần son nhạt môi 
 Cay đắng thêm trong đời 
 Tàn một cơn mê 
 Bẽ bàng một mình ai 
 Nghe như trong lòng 
 Giông tố đang buốt sâu 
 Ai nói yêu em đêm nay 
 Ai nói yêu em đêm mai 
 Ai sẽ yêu em sau này 
 Khi bóng chiều thẫn thờ rơi 
 Vũ trường chợt bừng men say 
 Ai nói yêu em đêm nay 
 Rồi từng đêm từng đêm 
 Qua biết tay bao người 
 Một lần son nhạt môi 
 Cay đắng thêm trong đời 
 Tàn một cơn mê 
 Bẽ bàng một mình ai 
 Nghe như trong lòng 
 Giông tố đang buốt sâu 
 Ai nói yêu em đêm nay 
 Ai nói yêu em đêm mai 
 Ai sẽ yêu em sau này 
 Khi bóng chiều thẫn thờ rơi 
 Vũ trường chợt bừng men say 
 Ai nói yêu em đêm nay"
9304,Ai Thuong Yeu Em,Doan Minh ft Ngoc Han,,"Việt Nam, Nhạc Trữ Tình","Ai thường hay vuốt mái tóc em 
 Khi em buồn 
 Dìu em vào thương nhớ 
 Dắt em vào mộng mơ 
 Với mối tình thơ 
 Ai luôn bên em 
 Ai thường bảo em 
 Yêu hoài, yêu mãi mãi 
 Đến trăm năm bạc đầu 
 Dù trăng tròn trăng khuyết 
 Dẫu cho đời bể dâu 
 Tình chẳng phai màu 
 Trăng ơi trăng ơi 
 Trăng ngày xưa sáng tỏ 
 Ân tình như hoa nở 
 Cớ sao bây giờ 
 Anh nỡ phụ tình em 
 Bơ vơ giữa chốn không đèn 
 Em âm thầm vào đêm 
 Ai nâng niu em 
 Tay nào dìu em 
 Lau dòng nước mắt 
 Khóc suốt đêm đen lạnh lùng 
 Rèm mi buồn khép kín 
 Trả cho đời ngày vui 
 Tình trả cho người 
 Ai luôn bên em 
 Ai thường bảo em 
 Yêu hoài, yêu mãi mãi 
 Đến trăm năm bạc đầu 
 Dù trăng tròn trăng khuyết 
 Dẫu cho đời bể dâu 
 Tình chẳng phai màu 
 Trăng ơi trăng ơi 
 Trăng ngày xưa sáng tỏ 
 Ân tình như hoa nở 
 Cớ sao bây giờ 
 Anh nỡ phụ tình em 
 Bơ vơ giữa chốn không đèn 
 Em âm thầm vào đêm 
 Ai nâng niu em 
 Tay nào dìu em 
 Lau dòng nước mắt 
 Khóc suốt đêm đen lạnh lùng 
 Rèm mi buồn khép kín 
 Trả cho đời ngày vui 
 Tình trả cho người 
 Rèm mi buồn khép kín 
 Trả cho đời ngày vui 
 Tình trả cho người 
 Rèm mi buồn khép kín 
 Trả cho đời ngày vui 
 Tình trả cho người 
 Rèm mi buồn khép kín 
 Trả cho đời ngày vui 
 Tình trả cho người"
9305,Ai Thuong Yeu Em,Trúc Quyên,,"Việt Nam, Nhạc Trữ Tình","Ai thường hay vuốt mái tóc em 
 Khi em buồn 
 Dìu em vào thương nhớ 
 Dắt em vào mộng mơ 
 Với mối tình thơ 
 Ai luôn bên em 
 Ai thường bảo em 
 Yêu hoài, yêu mãi mãi 
 Đến trăm năm bạc đầu 
 Dù trăng tròn trăng khuyết 
 Dẫu cho đời bể dâu 
 Tình chẳng phai màu 
 Trăng ơi trăng ơi 
 Trăng ngày xưa sáng tỏ 
 Ân tình như hoa nở 
 Cớ sao bây giờ 
 Anh nỡ phụ tình em 
 Bơ vơ giữa chốn không đèn 
 Em âm thầm vào đêm 
 Ai nâng niu em 
 Tay nào dìu em 
 Lau dòng nước mắt 
 Khóc suốt đêm đen lạnh lùng 
 Rèm mi buồn khép kín 
 Trả cho đời ngày vui 
 Tình trả cho người 
 Ai luôn bên em 
 Ai thường bảo em 
 Yêu hoài, yêu mãi mãi 
 Đến trăm năm bạc đầu 
 Dù trăng tròn trăng khuyết 
 Dẫu cho đời bể dâu 
 Tình chẳng phai màu 
 Trăng ơi trăng ơi 
 Trăng ngày xưa sáng tỏ 
 Ân tình như hoa nở 
 Cớ sao bây giờ 
 Anh nỡ phụ tình em 
 Bơ vơ giữa chốn không đèn 
 Em âm thầm vào đêm 
 Ai nâng niu em 
 Tay nào dìu em 
 Lau dòng nước mắt 
 Khóc suốt đêm đen lạnh lùng 
 Rèm mi buồn khép kín 
 Trả cho đời ngày vui 
 Tình trả cho người 
 Rèm mi buồn khép kín 
 Trả cho đời ngày vui 
 Tình trả cho người 
 Rèm mi buồn khép kín 
 Trả cho đời ngày vui 
 Tình trả cho người 
 Rèm mi buồn khép kín 
 Trả cho đời ngày vui 
 Tình trả cho người"
9306,Ai Tinh,Bằng Cường,,,
9307,Ai Tinh,Lưu Chí Vỹ,,,
9308,Ai Ve Song Tuong (Tan Co),Chieu Hung & Ngoc Huyen,,"Việt Nam, Nhạc Không Lời",
9309,All That I Am,Philip Huy,,"R&B / Soul, Âu Mỹ",
9310,All This Time,Trish Thuy Trang,,"Âu Mỹ, Pop","Don't blame the world"", 'So you screwed up', ""But you're gonna be okay"", 'Now call your boyfriend and apologise 
 You pushed him pretty far 
 Away last night 
 He really loves you', ""You just don't always love yourself"", 'And all this time 
 Oh all this time 
 You have had it in you 
 You just sometimes need a push 
 La la la la la 
 And all this time 
 Oh all this time 
 You have had it in you 
 You just sometimes need a push 
 La la la la la 
 Think all the mean girls 
 That pulled your hair 
 Are barefoot now 
 And pregnant dear 
 And you write pop songs 
 And get to travel around the world 
 And all this time 
 Oh all this time 
 You have had it in you 
 You just sometimes need a push 
 La la la la la 
 And all this time 
 Oh all this time 
 You have had it in you 
 You just sometimes need a push 
 La la la la la', ""So you've had some detours"", 'Some stupid men 
 Now we know 
 What not to do again 
 Besides you lucked out finally 
 And all this time 
 Oh all this time 
 You have had it in you 
 You just sometimes need a push 
 La la la la la 
 And all this time 
 Oh all this time 
 You have had it in you 
 You just sometimes need a push 
 La la la la la 
 And all this time 
 Oh all this time 
 You have had it in you 
 You just sometimes need a push 
 La la la la la"
